greeting,,NONE,I'm glad to hear that you are doing well! ,yes
greeting,,NONE,I'm sorry to hear that.,no
greeting_back,,NONE,Looking good as always!,default
request(genre),,SD,That's alright. I also struggle with favorites at times.,no
request(genre),,NONE,That's lovely! I like #entity too.,default
request(director),,SD,I also like #entity .,default
request(director),,NONE,That's cool.,default
request(director),,NONE,Don't worry. I have enough opinions for the both of us.,no
request(director),,HE,Oh. I've maybe seen some movies by #entity .,default
request(director),,PR,I like the way you think! #entity is definitely one of the best.,default
request(director),,VSN,You don't sound so sure. But don't worry. I'm smart enough to still come up with a good recommendation for you.,default
request(actor),,NONE,I would have sworn you had an opinion about everything!,no
request(actor),,NONE,I love how you think. #entity is great.,default
inform(movie),,NONE,I though you had great taste...,yes
inform(movie),,PR,Your standards are definitely higher than mine!,no
inform(movie),SD,NONE,Oh no!,no
inform(movie),,VSN,So this movie was not good enough for you?,no
request(feedback),,NONE,Thanks.,default
request_more,,NONE,Okay. It was nice talking to you.,no
request_more,,NONE,Okay. Hold on one second please.,yes
request_more,,SD,Okay. I'll think of another recommendation for you.,yes
request_more,,PR,I'll try to find a better recommendation for a great person like you.,yes
request_more,,VSN,I know. I'm pretty good at my job.,yes
inform(plot),,NONE,I knew you'd like it.,yes
inform(plot),,NONE,Wow. You're really picky!.,no
inform(actor),,NONE,One second while I look this up.,no
inform(actor),,SD,I can do better!,no
inform(genre),,NONE,I think I can find a better one for you.,no
inform(genre),,NONE,Here you go.,yes
request(opinion),,NONE,Thanks for telling me this.,default
bye,,NONE,Sure thing.,default
