client_id: -LtPNkt7PDVc8m3oSxkj
Hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}"
Ruth,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
Yes good thanks!,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
Durham,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
"Stir fry, tofu, pasta","{'intent': 'inform', 'entity': ['tofu', 'pasta'], 'entity_type': 'food', 'polarity': '+'}"
Light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}"
Very,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
I'm vegan,"{'intent': 'inform', 'entity': True, 'entity_type': 'vegan', 'polarity': None}"
Something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}"
"No, I don't eat fish","{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}"
Yes sounds good,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
Yes please,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
Yes I like that,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
No thanks,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}"
client_id: -Lt_0n-uns2vcKtOWKlk
hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}"
Jill,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
Everything is fine thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
I live near Liverpool,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
I am a vegetarian so lots of vegetable based dishes,"{'intent': 'inform', 'entity': ['dishes'], 'entity_type': 'food', 'polarity': '+'}"
I am really hungry right now,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}"
"very healthy, suitable for a vegan/vegetarian","{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}"
allergies to shell fish,"{'intent': 'inform', 'entity': ['shell', 'fish'], 'entity_type': 'food', 'polarity': '+'}"
something quick to prepare please,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}"
That looks good and looks easy to prepare,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
yes please. anything which includes lots of vegetables,"{'intent': 'inform', 'entity': ['vegetables'], 'entity_type': 'food', 'polarity': '+'}"
I like this recipe but would like a change from salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '+'}"
That looks very tasty,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
yes please but something different this time,"{'intent': 'inform', 'entity': True, 'entity_type': 'time', 'polarity': None}"
That sounds lovely but do you have any recipes that do not include salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}"
I like this idea very much.,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
client_id: -LtZiPwlIo6CbDQ0aAaH
hello,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}"
rachael,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
yeah great thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
i live in blackburn england,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
i normally have chicken and some sort of veg,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}"
light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}"
quite healthy,"{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}"
no none,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}"
something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}"
great,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}"
client_id: -LtFl9BoIRn2rnnz_6KY
Hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}"
I'm fine but a bit peckish,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}"
I'm very hungry,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}"
moderately healthy,"{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}"
not at all,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}"
