label,rule-based prediction,"""actor""/""director"" in u",voc greetings in u,"""already"" in u",vor request_more in u,voc bye in u,voc genres in u,1st word is a verb,"""what"" is 1st word","""genre"", ""type"", ""kind"" in u",1st word POS tag is WDT,"""in"" or ""on"" in u","""cast"", ""actor"", ""act"", ""star"" in u","""by"" in u","""director"", ""direct"" i u","""happen"", ""plot"", ""summary"" in u",1st word POS tag is WP,len(u)>3,voc yes in u,voc no in u,utterance,formula
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,what people are in that movie,askActor
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,do you know who acted in that film,askActor
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,who was in that,askActor
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,who are the main people in that film,askActor
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,which actors starred in this film,askActor
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,who starred in that film,askActor
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,which actors were in that film,askActor
3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,what is the genre,askGenre
3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,what kind of movie is this?,askGenre
3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,what type of movie is that,askGenre
3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,can you tell me the genre,askGenre
3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,is it an action movie,askGenre
2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,can you tell me the director,askDirector
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,who was the director for that movie,askDirector
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,who directed it?,askDirector
9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,i think cruise is the best actor ever,inform (cast tom_cruise)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emma watson,inform (cast emma_ii_watson)
9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,tom cruise is the best actor ever,inform (cast tom_cruise)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,my favorite director is steven spielberg,inform (cast steven_spielberg)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,drama is my favorite,inform (genre drama)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,tom cruise is super talented.,inform (cast tom_cruise)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,comedy,inform (genre comedy)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,i prefer jennifer lawrence,inform (cast jennifer_iii_lawrence)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,war,inform (genre war)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,i guess i maybe like tom cruise.,inform (cast tom_cruise)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,i really like nolan for example,inform (cast christopher_i_nolan)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,i like comedy films,inform (genre comedy)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,i usually watch comedy movies,inform (genre comedy)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,yeah i'm a fan of steven spielberg,inform (cast steven_spielberg)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tom hardy,inform (cast tom_i_hardy)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,i love comedy movies,inform (genre comedy)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,i like action,inform (genre action)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,i'm a huge fan of steven spielberg,inform (cast steven_spielberg)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,comedy is my favorite,inform (genre comedy)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,action,inform (genre action)
9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,i like drama,inform (genre drama)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,i really like spielberg for example,inform (cast steven_spielberg)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brad pitt,inform (cast brad_pitt)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,i like christopher nolan,inform (cast christopher_i_nolan)
9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,i love tom cruise,inform (cast tom_cruise)
